연번,요일구분,호선,역번호,출발역,상하구분,시간대,혼잡도
21,평일,2,9001,성수E,오름차순,530,0.0
22,평일,2,9001,성수E,내림차순,530,7.9
23,평일,2,210,뚝섬,오름차순,530,16.8
24,평일,2,210,뚝섬,내림차순,530,8.5
25,평일,2,209,한양대,오름차순,530,17.5
26,평일,2,209,한양대,내림차순,530,10.7
27,평일,2,208,왕십리,오름차순,530,17.6
28,평일,2,208,왕십리,내림차순,530,14.5
29,평일,2,207,상왕십리,오름차순,530,21.3
30,평일,2,207,상왕십리,내림차순,530,16.4
31,평일,2,206,신당,오름차순,530,18.6
32,평일,2,206,신당,내림차순,530,19.2
33,평일,2,205,동대문역사문화공원,오름차순,530,20.5
34,평일,2,205,동대문역사문화공원,내림차순,530,16.1
35,평일,2,204,을지로4가,오름차순,530,14.0
36,평일,2,204,을지로4가,내림차순,530,16.0
37,평일,2,203,을지로3가,오름차순,530,14.4
38,평일,2,203,을지로3가,내림차순,530,15.7
39,평일,2,202,을지로입구,오름차순,530,13.9
40,평일,2,202,을지로입구,내림차순,530,10.5
41,평일,2,201,시청,오름차순,530,20.5
42,평일,2,201,시청,내림차순,530,10.9
43,평일,2,243,충정로,오름차순,530,21.4
44,평일,2,243,충정로,내림차순,530,11.2
45,평일,2,242,아현,오름차순,530,20.4
46,평일,2,242,아현,내림차순,530,14.0
47,평일,2,241,이대,오름차순,530,22.1
48,평일,2,241,이대,내림차순,530,15.0
49,평일,2,240,신촌(지하),오름차순,530,21.4
50,평일,2,240,신촌(지하),내림차순,530,16.9
51,평일,2,239,홍대입구,오름차순,530,20.7
52,평일,2,239,홍대입구,내림차순,530,15.4
53,평일,2,238,합정,오름차순,530,26.5
54,평일,2,238,합정,내림차순,530,25.1
55,평일,2,237,당산,오름차순,530,27.6
56,평일,2,237,당산,내림차순,530,20.0
57,평일,2,236,영등포구청,오름차순,530,29.1
58,평일,2,236,영등포구청,내림차순,530,24.3
59,평일,2,235,문래,오름차순,530,28.0
60,평일,2,235,문래,내림차순,530,25.9
61,평일,2,234,신도림,오름차순,530,28.0
62,평일,2,234,신도림,내림차순,530,24.7
63,평일,2,233,대림,오름차순,530,94.7
64,평일,2,233,대림,내림차순,530,32.1
65,평일,2,232,구로디지털단지,오름차순,530,63.4
66,평일,2,232,구로디지털단지,내림차순,530,39.9
67,평일,2,231,신대방,오름차순,530,43.5
68,평일,2,231,신대방,내림차순,530,48.3
69,평일,2,230,신림,오름차순,530,32.6
70,평일,2,230,신림,내림차순,530,64.1
71,평일,2,229,봉천,오름차순,530,20.9
72,평일,2,229,봉천,내림차순,530,69.8
73,평일,2,228,서울대입구,오름차순,530,15.5
74,평일,2,228,서울대입구,내림차순,530,73.9
75,평일,2,227,낙성대,오름차순,530,21.7
76,평일,2,227,낙성대,내림차순,530,78.7
77,평일,2,226,사당,오름차순,530,19.5
78,평일,2,226,사당,내림차순,530,84.8
79,평일,2,225,방배,오름차순,530,22.3
80,평일,2,225,방배,내림차순,530,84.0
81,평일,2,224,서초,오름차순,530,21.8
82,평일,2,224,서초,내림차순,530,81.3
83,평일,2,223,교대,오름차순,530,22.0
84,평일,2,223,교대,내림차순,530,80.1
85,평일,2,222,강남,오름차순,530,23.2
86,평일,2,222,강남,내림차순,530,64.0
87,평일,2,221,역삼,오름차순,530,22.1
88,평일,2,221,역삼,내림차순,530,54.5
89,평일,2,220,선릉,오름차순,530,21.2
90,평일,2,220,선릉,내림차순,530,27.0
91,평일,2,219,삼성,오름차순,530,19.0
92,평일,2,219,삼성,내림차순,530,10.6
93,평일,2,218,종합운동장,오름차순,530,28.7
94,평일,2,218,종합운동장,내림차순,530,10.3
95,평일,2,217,잠실새내,오름차순,530,25.1
96,평일,2,217,잠실새내,내림차순,530,12.5
97,평일,2,216,잠실,오름차순,530,23.4
98,평일,2,216,잠실,내림차순,530,16.6
99,평일,2,215,잠실나루,오름차순,530,17.2
100,평일,2,215,잠실나루,내림차순,530,17.3
101,평일,2,214,강변,오름차순,530,17.4
102,평일,2,214,강변,내림차순,530,14.3
103,평일,2,213,구의,오름차순,530,14.2
104,평일,2,213,구의,내림차순,530,23.0
105,평일,2,212,건대입구,오름차순,530,10.4
106,평일,2,212,건대입구,내림차순,530,26.4
107,평일,2,211,성수,오름차순,530,8.2
108,평일,2,211,성수,내림차순,530,7.9
109,평일,2,9002,성수,오름차순,530,0.0
110,평일,2,9002,성수,내림차순,530,2.4
111,평일,2,244,용답,오름차순,530,17.8
112,평일,2,244,용답,내림차순,530,2.5
113,평일,2,245,신답,오름차순,530,13.3
114,평일,2,245,신답,내림차순,530,3.1
115,평일,2,250,용두,오름차순,530,11.1
116,평일,2,250,용두,내림차순,530,3.1
117,평일,2,246,신설동,오름차순,530,8.1
118,평일,2,246,신설동,내림차순,530,0.0
119,평일,2,260,까치산,오름차순,530,0.0
120,평일,2,260,까치산,내림차순,530,12.2
121,평일,2,249,신정네거리,오름차순,530,10.9
122,평일,2,249,신정네거리,내림차순,530,23.4
123,평일,2,248,양천구청,오름차순,530,9.1
124,평일,2,248,양천구청,내림차순,530,29.1
125,평일,2,247,도림천,오름차순,530,8.1
126,평일,2,247,도림천,내림차순,530,28.9
127,평일,2,9003,신도림,오름차순,530,7.9
128,평일,2,9003,신도림,내림차순,530,0.0
129,평일,3,309,지축,내림차순,530,20.0
130,평일,3,309,지축,오름차순,530,38.2
131,평일,3,310,구파발,내림차순,530,21.4
132,평일,3,310,구파발,오름차순,530,16.4
133,평일,3,311,연신내,내림차순,530,22.0
134,평일,3,311,연신내,오름차순,530,25.1
135,평일,3,312,불광,내림차순,530,19.0
136,평일,3,312,불광,오름차순,530,33.5
137,평일,3,313,녹번,내림차순,530,17.3
138,평일,3,313,녹번,오름차순,530,39.0
139,평일,3,314,홍제,내림차순,530,16.4
140,평일,3,314,홍제,오름차순,530,44.7
141,평일,3,315,무악재,내림차순,530,14.4
142,평일,3,315,무악재,오름차순,530,45.9
143,평일,3,316,독립문,내림차순,530,13.8
144,평일,3,316,독립문,오름차순,530,32.5
145,평일,3,317,경복궁,내림차순,530,13.6
146,평일,3,317,경복궁,오름차순,530,32.8
147,평일,3,318,안국,내림차순,530,14.5
148,평일,3,318,안국,오름차순,530,32.6
149,평일,3,319,종로3가,내림차순,530,14.4
150,평일,3,319,종로3가,오름차순,530,26.8
151,평일,3,320,을지로3가,내림차순,530,7.3
152,평일,3,320,을지로3가,오름차순,530,23.3
153,평일,3,321,충무로,내림차순,530,8.3
154,평일,3,321,충무로,오름차순,530,21.8
155,평일,3,322,동대입구,내림차순,530,7.9
156,평일,3,322,동대입구,오름차순,530,21.9
157,평일,3,323,약수,내림차순,530,7.6
158,평일,3,323,약수,오름차순,530,29.2
159,평일,3,324,금호,내림차순,530,9.7
160,평일,3,324,금호,오름차순,530,32.1
161,평일,3,325,옥수,내림차순,530,8.3
162,평일,3,325,옥수,오름차순,530,36.6
163,평일,3,326,압구정,내림차순,530,7.4
164,평일,3,326,압구정,오름차순,530,16.5
165,평일,3,327,신사,내림차순,530,7.2
166,평일,3,327,신사,오름차순,530,15.2
167,평일,3,328,잠원,내림차순,530,7.3
168,평일,3,328,잠원,오름차순,530,15.3
169,평일,3,329,고속터미널,내림차순,530,7.5
170,평일,3,329,고속터미널,오름차순,530,17.4
171,평일,3,330,교대,내림차순,530,8.3
172,평일,3,330,교대,오름차순,530,20.9
173,평일,3,331,남부터미널,내림차순,530,8.2
174,평일,3,331,남부터미널,오름차순,530,18.7
175,평일,3,332,양재,내림차순,530,8.5
176,평일,3,332,양재,오름차순,530,8.6
177,평일,3,333,매봉,내림차순,530,9.2
178,평일,3,333,매봉,오름차순,530,8.9
179,평일,3,334,도곡,내림차순,530,8.4
180,평일,3,334,도곡,오름차순,530,8.2
181,평일,3,335,대치,내림차순,530,7.4
182,평일,3,335,대치,오름차순,530,8.2
183,평일,3,336,학여울,내림차순,530,5.8
184,평일,3,336,학여울,오름차순,530,8.2
185,평일,3,337,대청,내림차순,530,7.2
186,평일,3,337,대청,오름차순,530,8.1
187,평일,3,338,일원,내림차순,530,6.6
188,평일,3,338,일원,오름차순,530,7.8
