호선,역번호,역명,위도,경도,순서,환승역
2,202,을지로입구,37.565998,126.982569,1,0
2,203,을지로3가,37.566292,126.991773,2,1
2,204,을지로4가,37.566611,126.998122,3,1
2,205,동대문역사문화공원,37.565597,127.009113,4,2
2,206,신당,37.565681,127.019488,5,1
2,207,상왕십리,37.564504,127.028872,6,0
2,208,왕십리,37.561159,127.035505,7,3
2,209,한양대,37.55658,127.043504,8,0
2,210,뚝섬,37.54718,127.047413,9,0
2,211,성수,37.544628,127.055983,10,1
2,212,건대입구,37.540408,127.069231,11,1
2,213,구의,37.536857,127.085024,12,0
2,214,강변,37.535161,127.094684,13,0
2,215,잠실나루,37.520688,127.103836,14,0
2,216,잠실,37.513305,127.100129,15,1
2,217,잠실새내,37.520731,127.103738,16,0
2,218,종합운동장,37.511008,127.073641,17,1
2,219,삼성,37.508827,127.063203,18,0
2,220,선릉,37.504257,127.048174,19,1
2,221,역삼,37.500658,127.03643,20,0
2,222,강남,37.497958,127.027539,21,1
2,223,교대,37.493957,127.014631,22,1
2,224,서초,37.49191,127.007945,23,0
2,225,방배,37.481469,126.997627,24,0
2,226,사당,37.476536,126.981631,25,1
2,227,낙성대,37.47693,126.963783,26,0
2,228,서울대입구,37.481233,126.952745,27,0
2,229,봉천,37.482416,126.941896,28,0
2,230,신림,37.484216,126.929573,29,1
2,231,신대방,37.487534,126.913279,30,0
2,232,구로디지털단지,37.485005,126.902626,31,0
2,233,대림,37.492426,126.895293,32,1
2,234,신도림,37.508815,126.891222,33,2
2,235,문래,37.517993,126.894766,34,0
2,236,영등포구청,37.525766,126.896627,35,1
2,237,당산,37.533877,126.902011,36,1
2,238,합정,37.550025,126.914557,37,1
2,239,홍대입구,37.556748,126.923643,38,2
2,240,신촌,37.555153,126.93689,39,0
2,241,이대,37.556734,126.945897,40,0
2,242,아현,37.557407,126.956079,41,0
2,243,충정로,37.559742,126.964455,42,1
2,201,시청,37.563534,126.975271,43,1
3,309,지축,37.648281,126.912551,1,0
3,310,구파발,37.636612,126.918827,2,0
3,311,연신내,37.618855,126.920859,3,2
3,312,불광,37.610554,126.929843,4,1
3,313,녹번,37.600882,126.935758,5,0
3,314,홍제,37.588851,126.944092,6,0
3,315,무악재,37.582658,126.950131,7,0
3,316,독립문,37.574534,126.957902,8,0
3,317,경복궁,37.575844,126.973576,9,0
3,318,안국,37.576562,126.98547,10,0
3,319,종로3가,37.571537,126.991237,11,2
3,320,을지로3가,37.566299,126.992616,12,1
3,321,충무로,37.561302,126.995473,13,1
3,322,동대입구,37.55816,127.005273,14,0
3,323,약수,37.554674,127.010628,15,1
3,324,금호,37.548269,127.015785,16,0
3,325,옥수,37.541653,127.017303,17,1
3,326,압구정,37.526169,127.028502,18,0
3,327,신사,37.516438,127.020247,19,1
3,328,잠원,37.512989,127.011613,20,0
3,329,고속터미널,37.504953,127.004916,21,2
3,330,교대,37.49306,127.013796,22,1
3,331,남부터미널,37.48494,127.016289,23,0
3,332,양재,37.48466,127.03513,24,1
3,333,매봉,37.487114,127.046907,25,0
3,334,도곡,37.491129,127.055694,26,1
3,335,대치,37.494601,127.063449,27,0
3,336,학여울,37.496757,127.070541,28,0
3,337,대청,37.493607,127.079526,29,0
3,338,일원,37.48389,127.08416,30,0
3,339,수서,37.487507,127.101324,31,2
3,340,가락시장,37.492368,127.118101,32,1
3,341,경찰병원,37.495754,127.124198,33,0  
3,342,오금,37.502288,127.128344,34,1
